Country,%male 2000,%male 2013,%female 2000,%female 2013,Continent
Austria,69,68,48,55,Europe
"Bahamas, The",75,79,66,69,North America
Barbados,76,77,64,66,North America
Belarus,65,63,53,50,Europe
Belgium,61,59,44,48,Europe
Bermuda,,,,,North America
Bolivia,82,81,60,64,Europe
Bosnia and Herzegovina,58,57,33,34,Europe
Bulgaria,56,59,44,48,Europe
Canada,72,71,59,62,North America
Croatia,63,58,45,45,Europe
Cuba,70,70,38,43,North America
Cyprus,72,71,50,56,Europe
Czech Republic,70,68,52,51,Europe
Denmark,72,66,60,59,Europe
Dominican Republic,80,79,46,51,North America
Estonia,67,69,52,56,Europe
Finland,67,64,57,56,Europe
France,63,62,48,51,Europe
Germany,68,66,49,54,Europe
Greece,65,63,40,44,Europe
Guam,74,69,56,56,North America
Hungary,58,60,41,45,Europe
Iceland,82,77,72,71,Europe
Ireland,71,68,47,53,Europe
Italy,61,60,35,40,Europe
Jamaica,78,71,59,56,North America
Latvia,65,68,49,55,Europe
Lithuania,66,67,55,56,Europe
Luxembourg,66,65,41,51,Europe
Malta,72,66,30,38,Europe
Netherlands,73,71,53,59,Europe
Norway,72,69,60,61,Europe
Poland,64,65,49,49,Europe
Portugal,70,66,53,55,Europe
Romania,72,65,59,49,Europe
Serbia,65,61,45,45,Europe
Slovak Republic,68,69,53,51,Europe
Slovenia,64,63,51,52,Europe
Spain,66,66,41,53,Europe
St. Lucia,76,76,62,63,North America
Sweden,68,68,58,60,Europe
Switzerland,78,75,58,62,Europe
Trinidad and Tobago,76,76,47,53,North America
Ukraine,65,67,52,53,Europe
United Kingdom,70,69,54,56,Europe
United States,74,69,59,56,North America
